;;;;;;;;
;Key Exchange (ms);Encryption without Integrity and Authenticity (ms);Total (s);;;Key Exchange;Encryption with Integrity and Authenticity ;Total
#1;341;1.01;3,345;;#1;1.02;5.14;9,461
#2;6.93;4.51;;;#2;13;24;
#3;12.5;2.09;;;#3;6.71;0.507;
#4;9.47;393;;;#4;7.26;8;
#5;2.01;2610;;;#5;1.01;664;
#6;1;0;;;#6;1.52;142;
#1;278;1.01;3,436;;#7;0;38.3;
#2;6.56;6.51;;;#8;0;8610;
#3;10.3;5.11;;;#1;310;1.01;3,312
#4;5.52;388;;;#2;6.71;6.01;
#5;0.943;2770;;;#3;6.56;0.999;
#6;1.02;0;;;#4;6.38;8.01;
#1;398;1.91;4,669;;#5;1.01;432;
#2;5.09;7.08;;;#6;0;89.2;
#3;8.55;2.01;;;#7;0;17.3;
#4;5.01;621;;;#8;0;2570;
#5;1.08;3650;;;#1;407;1.01;3,306
#6;1.01;0;;;#2;5.64;5.53;
#1;797;0.998;3,856;;#3;6.51;1;
#2;7.02;6.05;;;#4;5.62;5.01;
#3;6.6;2.01;;;#5;0;418;
#4;5.01;379;;;#6;1.04;80;
#5;1.45;2680;;;#7;0;15.5;
#6;1.5;0;;;#8;0;2400;
#1;62.2;0;3,012;;#1;1430;1.01;4,485
#2;9.02;4.52;;;#2;5;6.33;
#3;8.5;2.51;;;#3;8.01;0.506;
#4;6.57;381;;;#4;6;7.32;
#5;1.01;2630;;;#5;1.31;433;
#6;1;0;;;#6;1;81.2;
Média;;;3,6636;;#7;0;16.4;
Desvio Padrão;;;0,570217011;;#8;0;2610;
;;;;;#1;1200;1.53;10,693
;;;;;#2;8.03;14.4;
;;;;;#3;7;1.42;
;;;;;#4;5.66;25;
;;;;;#5;0.999;2.17;
;;;;;#6;0.999;181;
;;;;;#7;0;25.9;
;;;;;#8;0;9280;
;;;;;Média;;;6,2514
;;;;;Desvio Padrão;;;3,176947126
